FID,ogc_fid,education_sector,entity_type,school_no,school_name,school_type,school_status,_address_line_1,_address_line_2,address_town,address_state,address_postcode,_postal_address_line_1,_postal_address_line_2,postal_town,postal_state,postal_postcode,full_phone_no,lga_id,lga_name,x,y,wkb_geometry
vic_school_locations_2019.615,615,Government,1,3947,Strathewen Primary School,Primary,O,5 School Ridge Road,,Strathewen,VIC,3099,5 School Ridge Road,,Strathewen,VIC,3099,03 9714 8278,571,Nillumbik (S),145.2701,-37.5476,MULTIPOINT ((-37.54757900091189 145.270094))
vic_school_locations_2019.616,616,Government,1,3956,Don Valley Primary School,Primary,O,Old Dalry Road,,Don Valley,VIC,3139,Old Dalry Road,,DON VALLEY,VIC,3139,03 5967 3321,745,Yarra Ranges (S),145.5874,-37.7602,MULTIPOINT ((-37.760199890913654 145.58741279999998))
vic_school_locations_2019.617,617,Government,1,3960,Reservoir Primary School,Primary,O,Duffy Street,,Reservoir,VIC,3073,PO Box 69,,RESERVOIR,VIC,3073,03 9460 5798,189,Darebin (C),145.0068,-37.7114,MULTIPOINT ((-37.71142000091326 145.00677))
vic_school_locations_2019.618,618,Government,1,3967,Yallourn North Primary School,Primary,O,2A Reserve Street,,Yallourn North,VIC,3825,2A Reserve Street,,YALLOURN NORTH,VIC,3825,03 5115 8500,381,Latrobe (C),146.3622,-38.1632,MULTIPOINT ((-38.16320800091687 146.362224))
vic_school_locations_2019.619,619,Government,1,3968,Toorloo Arm Primary School,Primary,O,315 Lake Tyers Beach Road,,Lake Tyers Beach,VIC,3909,315 Lake Tyers Beach Road,,LAKES ENTRANCE,VIC,3909,03 5156 5517,211,East Gippsland (S),148.051,-37.8525,MULTIPOINT ((-37.8525390009144 148.05097))
vic_school_locations_2019.620,620,Government,1,3971,Girgarre Primary School,Primary,O,528 Winter Road,,Girgarre,VIC,3624,P O Box 75,,GIRGARRE,VIC,3624,03 5854 6275,137,Campaspe (S),144.9738,-36.3981,MULTIPOINT ((-36.39810600090148 144.973758))
vic_school_locations_2019.621,621,Government,1,3976,Yaapeet Primary School,Primary,O,4 Woods Street,,Yaapeet,VIC,3424,P O Box 32,,YAAPEET,VIC,3424,03 5395 7260,763,Yarriambiack (S),142.0572,-35.7685,MULTIPOINT ((-35.768504000895156 142.057154))
vic_school_locations_2019.622,622,Government,1,3982,Gladysdale Primary School,Primary,O,550 Little Yarra Road,,Gladysdale,VIC,3797,550 Little Yarra Road,,GLADYSDALE,VIC,3797,03 5966 6202,745,Yarra Ranges (S),145.651,-37.8203,MULTIPOINT ((-37.82025309091415 145.6509863))
vic_school_locations_2019.623,623,Government,1,3983,Mildura West Primary School,Primary,O,219-227 Ninth Street,,Mildura,VIC,3500,219-227 Ninth Street,,MILDURA,VIC,3500,03 5023 1336,478,Mildura (RC),142.1519,-34.1796,MULTIPOINT ((-34.17962100087729 142.151865))
vic_school_locations_2019.624,624,Government,1,3987,Moonee Ponds Primary School,Primary,O,87 Wilson Street,,Moonee Ponds,VIC,3039,87 Wilson Street,,Moonee Ponds,VIC,3039,03 9375 2511,506,Moonee Valley (C),144.933,-37.7633,MULTIPOINT ((-37.76334100091368 144.932986))
